chebi_id	wikidata_id
CHEBI:2612	Q15708035
CHEBI:2613	Q4736154
CHEBI:2614	Q27105736
CHEBI:2615	Q27105737
CHEBI:2617	Q27105738
CHEBI:2618	Q409761
CHEBI:2619	Q27105739
CHEBI:2620	Q27105740
CHEBI:2621	Q27105741
CHEBI:2622	Q3613679
CHEBI:2623	Q27105742
CHEBI:2624	Q21098987
CHEBI:2625	Q27105743
CHEBI:2626	Q27105744
CHEBI:2627	Q4064027
CHEBI:2628	Q27105751
CHEBI:2629	Q27105752
CHEBI:2631	Q4742425
CHEBI:2632	Q27105753
CHEBI:2635	Q2225366
CHEBI:2636	Q251698
CHEBI:2637	Q408529
CHEBI:2638	Q27105754
CHEBI:2639	Q419995
CHEBI:2640	Q27105756
CHEBI:2645	Q27105757
CHEBI:2651	Q209022
CHEBI:2653	Q3120938
CHEBI:2654	Q241150
CHEBI:2659	Q471763
CHEBI:2661	Q27105758
CHEBI:2663	Q410061
CHEBI:2664	Q27271976
CHEBI:2665	Q417878
CHEBI:2666	Q58397
CHEBI:2667	Q27254112
CHEBI:2668	Q411347
CHEBI:2669	Q27105760
CHEBI:2670	Q27105761
CHEBI:2671	Q27105762
CHEBI:2672	Q15425294
CHEBI:2673	Q415850
CHEBI:2674	Q239569
CHEBI:2675	Q58356
CHEBI:2676	Q201928
CHEBI:2677	Q2870929
CHEBI:2678	Q27105763
CHEBI:2679	Q179452
CHEBI:2680	Q27105764
CHEBI:2681	Q27105765
CHEBI:2682	Q412223
CHEBI:2685	Q27105766
CHEBI:2686	Q422724
CHEBI:2687	Q2784004
CHEBI:2688	Q4748992
CHEBI:2689	Q27105767
CHEBI:2691	Q27888090
CHEBI:2697	Q27105769
CHEBI:2698	Q27105770
CHEBI:2699	Q27105771
CHEBI:2700	Q410228
CHEBI:2701	Q27105772
CHEBI:2702	Q27105773
CHEBI:2704	Q419143
CHEBI:2705	Q487291
CHEBI:2706	Q3303006
CHEBI:2707	Q27105775
CHEBI:2708	Q27105776
CHEBI:2710	Q2817108
CHEBI:2716	Q27105777
CHEBI:2718	Q32039285
CHEBI:2718	Q539799
CHEBI:2719	Q412999
CHEBI:2721	Q27105779
CHEBI:2722	Q27105780
CHEBI:2723	Q27105781
CHEBI:2724	Q5676874
CHEBI:2725	Q27105783
CHEBI:2726	Q27105785
CHEBI:2727	Q27105786
CHEBI:2729	Q27105788
CHEBI:2730	Q27105789
CHEBI:2733	Q2850134
CHEBI:2734	Q27105791
CHEBI:2735	Q4765340
CHEBI:2738	Q27105793
CHEBI:2739	Q7076760
CHEBI:2740	Q27105795
CHEBI:2741	Q27105797
CHEBI:2742	Q27105799
CHEBI:2743	Q27105800
CHEBI:2744	Q27105801
CHEBI:2745	Q27105802
CHEBI:2746	Q27105803
CHEBI:2747	Q27105804
CHEBI:2748	Q27105805
CHEBI:2750	Q27105806
CHEBI:2755	Q5413057
CHEBI:2756	Q27105807
CHEBI:2759	Q27105808
CHEBI:2760	Q27105809
CHEBI:2761	Q423129
CHEBI:2762	Q27067441
CHEBI:2764	Q27105810
CHEBI:2765	Q27105811
CHEBI:2766	Q27453425
CHEBI:2766	Q414000
CHEBI:2767	Q27105812
CHEBI:2769	Q23050245
CHEBI:2772	Q4779830
CHEBI:2780	Q25099870
CHEBI:2781	Q414754
CHEBI:2783	Q27105815
CHEBI:2785	Q27105816
CHEBI:2787	Q15410269
CHEBI:2788	Q4781812
CHEBI:2789	Q27105817
CHEBI:2790	Q418940
CHEBI:2791	Q411940
CHEBI:2795	Q27105818
CHEBI:2801	Q27105819
CHEBI:2803	Q27105821
CHEBI:2804	Q27105822
CHEBI:2805	Q27105823
CHEBI:2807	Q27105824
CHEBI:2808	Q27105825
CHEBI:2809	Q27105826
CHEBI:2810	Q27105827
CHEBI:2811	Q27105828
CHEBI:2812	Q27105829
CHEBI:2813	Q9159393
CHEBI:2814	Q423515
CHEBI:2815	Q27105830
CHEBI:2817	Q27105831
CHEBI:2818	Q6456091
CHEBI:2819	Q27105833
CHEBI:2820	Q27105834
CHEBI:2821	Q27105835
CHEBI:2822	Q27105836
CHEBI:2823	Q27105837
CHEBI:2825	Q21099362
CHEBI:2826	Q27105839
CHEBI:2827	Q27105840
CHEBI:2828	Q27105841
CHEBI:2829	Q27105842
CHEBI:2841	Q27105843
CHEBI:2842	Q27105844
CHEBI:2848	Q27105845
CHEBI:2849	Q27105846
CHEBI:2850	Q27105847
